Place,Xord,Yord,Zone,Distance,Direction,Koord
Rutten Field,355316,6940513,33,,,355316 6940513 33
bræcke gaard,339346.29,6950319.97,33,1,West,339346.29 6950319.97 33
Røraas,314217.93,6943363.98,33,3,West,314217.93 6943363.98 33
hof annex eller aalens annex,310910.73,6973645.07,33,3.375,West,310910.73 6973645.07 33
holtaalens hoved Kircke,304353.24,6983241.91,33,1.5,West,304353.24 6983241.91 33
Singsaas annex,279377.2,6986568.3,33,3,West,279377.2 6986568.3 33
Størens hoved Kircke,261922.42,6997816.47,33,3,West,261922.42 6997816.47 33
Horrigs annex,260918.39,7009706.51,33,1,West,260918.39 7009706.51 33
Meehl-hus hovet Kircke,263937.88,7024750.04,33,2,West,263937.88 7024750.04 33
Solberg i Liinstrandens Annex,265139.91,7030363.44,33,1,West,265139.91 7030363.44 33
Trondhiem,270337.87,7041814.2,33,1,West,270337.87 7041814.2 33
